market_hash_name,weapon,pattern,rarity,exterior,base_name
★ Hand Wraps | Spruce DDPAT (Factory New),Hand Wraps,Spruce DDPAT,Extraordinary,Factory New,★ Hand Wraps | Spruce DDPAT
★ Hand Wraps | Spruce DDPAT (Minimal Wear),Hand Wraps,Spruce DDPAT,Extraordinary,Minimal Wear,★ Hand Wraps | Spruce DDPAT
★ Hand Wraps | Spruce DDPAT (Field-Tested),Hand Wraps,Spruce DDPAT,Extraordinary,Field-Tested,★ Hand Wraps | Spruce DDPAT
★ Hand Wraps | Spruce DDPAT (Well-Worn),Hand Wraps,Spruce DDPAT,Extraordinary,Well-Worn,★ Hand Wraps | Spruce DDPAT
★ Hand Wraps | Spruce DDPAT (Battle-Scarred),Hand Wraps,Spruce DDPAT,Extraordinary,Battle-Scarred,★ Hand Wraps | Spruce DDPAT
★ Hand Wraps | Desert Shamagh (Factory New),Hand Wraps,Desert Shamagh,Extraordinary,Factory New,★ Hand Wraps | Desert Shamagh
★ Hand Wraps | Desert Shamagh (Minimal Wear),Hand Wraps,Desert Shamagh,Extraordinary,Minimal Wear,★ Hand Wraps | Desert Shamagh
★ Hand Wraps | Desert Shamagh (Field-Tested),Hand Wraps,Desert Shamagh,Extraordinary,Field-Tested,★ Hand Wraps | Desert Shamagh
★ Hand Wraps | Desert Shamagh (Well-Worn),Hand Wraps,Desert Shamagh,Extraordinary,Well-Worn,★ Hand Wraps | Desert Shamagh
★ Hand Wraps | Desert Shamagh (Battle-Scarred),Hand Wraps,Desert Shamagh,Extraordinary,Battle-Scarred,★ Hand Wraps | Desert Shamagh
★ Hand Wraps | Badlands (Factory New),Hand Wraps,Badlands,Extraordinary,Factory New,★ Hand Wraps | Badlands
★ Hand Wraps | Badlands (Minimal Wear),Hand Wraps,Badlands,Extraordinary,Minimal Wear,★ Hand Wraps | Badlands
★ Hand Wraps | Badlands (Field-Tested),Hand Wraps,Badlands,Extraordinary,Field-Tested,★ Hand Wraps | Badlands
★ Hand Wraps | Badlands (Well-Worn),Hand Wraps,Badlands,Extraordinary,Well-Worn,★ Hand Wraps | Badlands
★ Hand Wraps | Badlands (Battle-Scarred),Hand Wraps,Badlands,Extraordinary,Battle-Scarred,★ Hand Wraps | Badlands
★ Hand Wraps | CAUTION! (Factory New),Hand Wraps,CAUTION!,Extraordinary,Factory New,★ Hand Wraps | CAUTION!
★ Hand Wraps | CAUTION! (Minimal Wear),Hand Wraps,CAUTION!,Extraordinary,Minimal Wear,★ Hand Wraps | CAUTION!
★ Hand Wraps | CAUTION! (Field-Tested),Hand Wraps,CAUTION!,Extraordinary,Field-Tested,★ Hand Wraps | CAUTION!
★ Hand Wraps | CAUTION! (Well-Worn),Hand Wraps,CAUTION!,Extraordinary,Well-Worn,★ Hand Wraps | CAUTION!
★ Hand Wraps | CAUTION! (Battle-Scarred),Hand Wraps,CAUTION!,Extraordinary,Battle-Scarred,★ Hand Wraps | CAUTION!
★ Hand Wraps | Duct Tape (Factory New),Hand Wraps,Duct Tape,Extraordinary,Factory New,★ Hand Wraps | Duct Tape
★ Hand Wraps | Duct Tape (Minimal Wear),Hand Wraps,Duct Tape,Extraordinary,Minimal Wear,★ Hand Wraps | Duct Tape
★ Hand Wraps | Duct Tape (Field-Tested),Hand Wraps,Duct Tape,Extraordinary,Field-Tested,★ Hand Wraps | Duct Tape
★ Hand Wraps | Duct Tape (Well-Worn),Hand Wraps,Duct Tape,Extraordinary,Well-Worn,★ Hand Wraps | Duct Tape
★ Hand Wraps | Duct Tape (Battle-Scarred),Hand Wraps,Duct Tape,Extraordinary,Battle-Scarred,★ Hand Wraps | Duct Tape
★ Hand Wraps | Cobalt Skulls (Factory New),Hand Wraps,Cobalt Skulls,Extraordinary,Factory New,★ Hand Wraps | Cobalt Skulls
★ Hand Wraps | Cobalt Skulls (Minimal Wear),Hand Wraps,Cobalt Skulls,Extraordinary,Minimal Wear,★ Hand Wraps | Cobalt Skulls
★ Hand Wraps | Cobalt Skulls (Field-Tested),Hand Wraps,Cobalt Skulls,Extraordinary,Field-Tested,★ Hand Wraps | Cobalt Skulls
★ Hand Wraps | Cobalt Skulls (Well-Worn),Hand Wraps,Cobalt Skulls,Extraordinary,Well-Worn,★ Hand Wraps | Cobalt Skulls
★ Hand Wraps | Cobalt Skulls (Battle-Scarred),Hand Wraps,Cobalt Skulls,Extraordinary,Battle-Scarred,★ Hand Wraps | Cobalt Skulls
★ Hand Wraps | Overprint (Factory New),Hand Wraps,Overprint,Extraordinary,Factory New,★ Hand Wraps | Overprint
★ Hand Wraps | Overprint (Minimal Wear),Hand Wraps,Overprint,Extraordinary,Minimal Wear,★ Hand Wraps | Overprint
★ Hand Wraps | Overprint (Field-Tested),Hand Wraps,Overprint,Extraordinary,Field-Tested,★ Hand Wraps | Overprint
★ Hand Wraps | Overprint (Well-Worn),Hand Wraps,Overprint,Extraordinary,Well-Worn,★ Hand Wraps | Overprint
★ Hand Wraps | Overprint (Battle-Scarred),Hand Wraps,Overprint,Extraordinary,Battle-Scarred,★ Hand Wraps | Overprint
